KEEP IN WITH SOMEONE;сохранять дружественные отношения с кем-либо
KEEP IT UP;продолжать в том же духе
KEEP ON AT SOMEONE;постоянно убеждать, понуждать кого-либо сделать что-либо
KEEP ONE'S EAR TO THE GROUND;have/keep one's ear to the ground
KEEP ONE'S END UP;не отставать от других, поспевать
LABOUR OF LOVE;работа, которую выполняют для собственного удовольствия
LANTERN JAWS;впалые щеки
LASH OUT;транжирить деньги, тратить в больших количествах
LATE IN THE DAY;слишком поздно (вносить изменения, менять что-либо)
LAY AN EGG;(v.phr.) потерпеть неудачу
LAY ONESELF OPEN TO SOMETHING;подставляться
LAY SOMEONE LOW;свалить с ног, подкосить, сильно заболеть (о болезни)
LEAD SOMEONE A DANCE;постоянно втягивать кого-либо в различные неприятные ситуации, проблемы
LEAVE IN THE LURCH;(v.phr.) оставить в беде
LEERY;(adj.) подозрительный,скептический
MACHO;"(иногда оскорбит. Иногда уважит.) мужик, самец, ""мачо"""
MAKE A GO OF SOMETHING;добиваться успеха в чем-либо
MAKE A HIT;(v.phr.) иметь успех
MAKE A KILLING;заработать большие деньги, получить большие выгоды
MAKE A NAME FOR ONESELF;становиться известным, приобретать хорошую репутацию
MAKE A PIG'S EAR OF SOMETHING;испортить все, напутать, напортачить
MAKE A SONG AND DANCE ABOUT SOMETHING;поднимать шумиху, суету вокруг чего-либо
MAKE CAPITAL OF SOMETHING;использовать к собственной выгоде
MAKE EYES AT;to make eyes at
MAKE HAY;(v.phr.) использовать удобный случай
NAB;(v.) арестовать
NAME OF THE GAME;(n.phr.) суть дела
NAY;"то же, что и ""по"" (нет)"
NEAT TRICK;(n.phr.) ловкий трюк
NEGLIGEBLE QUANTITY;unknown quantity
NEITHER HERE NOR THERE;не важный
NET;"(v.) схватить;поймать"
NIGGER;п. (оскорбительное) ниггер, т.е. негр.
NIT PICK;(v.) беспокоиться по пустякам
NIT PICKER;(n.) педант
ODD BALL;"n. informal эксцентричная личность, ""белая ворона"", ""сумасшедший заяц"", ненормальный: Please don't deal with him. He is an odd ball.-Лучше не связывайся ты с ним. Он с головой не дружит."
ODD JOB;случайная, разная работа
ODD MAN OUT;odd man out/odd one out
ODDS AND ENDS;разные мелочи
OF ONE'S OWN ACCORD;по собственному желанию
OF UNSOUND MIND;cумасшедший
OFF ONE'S ROCKER;"(adj.phr.) винтика в голове не хватает;не все дома"
OFF THE BEAM;(adj.phr.) далеко от истины
OFF THE CUFF;"(adv.phr.) импровизировано;без подготовки"
OFF THE WALL;"(adj.phr.) поразительный;2.эксцетричный"
PACK IT IN;переставать делать что-либо
PACK OF LIES;(n.phr.) все ложь
PACK UP;сломаться, перестать работать
PADDLE ONE'S OWN CANOE;устраивать свои дела без помощи кого-либо, самостоятельно
PAIN IN THE NECK;тот, кто всех достает и напрягает (суперзануда)
PAL;"""кореш"", ""братан""."
PALM SOMETHING OFF ON SOMEONE;избавиться, сбагрить, спихнуть что-либо кому-либо
PAN OUT;"(v.phr.) удаваться;устраиваться"
PASS THE BACK;(v.phr.) сваливать ответственность
PAY OFF;"(v.phr.) подкупить;2.увенчаться успехом"
QUEER BEGGAR;странный человек
QUEER FISH;(n.) чудак
QUEER SOMEONE'S PITCH;спутать карты, т.е. помешать кому-либо сделать что-либо, разрушить все планы и т.п.
QUICK FIX;(n.phr.) решение какой-л. проблемы на скорую руку
QUITE SOMETHING;Это что-то! (о чем-то замечательном, стоящем и т.п.)
QUITTER;"(n.) капитулянт;трус"
RACK ONE'S BRAIN;v. phr. напрягать мозги, шевелить мыслей: Mick racked his brain trying to remember where he saw this girl before. - Мик напряг память, стараясь вспомнить, где же он видел эту девушку раньше.
RACK ONE'S BRAINS;(v.phr.) ломать голову
RAISE CAIN;шуметь, кричать
RAISE HELL;"(v.phr.) поднимать шум; устроить скандал"
RAISE HUE AND CRY;(v.phr.) поднимать шум
RAMBO;"разрушать. К величайшему своему стыду-позору я так и не посмотрел ни одного ""Рэмбо"". Поэтому не знаю, как он пишется на аглицком. Поэтому могу лишь предположить некую общность с приведенным выше словом"
RAP;выговор, порицание
RAP SOMEONE OVER THE KNUCKLES;намылить голову
RAPE SESSION;n. (воен.) взбучка, вздрючка, на ковер: — I see you've got a good rape session just now? — Вас только что вызывали на ковер?— говорит Холдуин, видя, что у комиссара слишком уж бледный вид.
RAT ON SOMEONE;предавать
SALT SOMETHING AWAY;отложить до лучших времен (обычно деньги)
SAVE THE DAY;(v.phr.) спасти положение
SAVVY;(adj.) смекалистый
SCAM;"(n.) мошенничество;обман"
SCARE THE HELL OUT OF;to scare the hell out of somebody
SCHMALTZ;(n.) дешевая сентиментальность (о фильме,шоу и т.п.)
SCHMO;"(пришло из Идиша) то же самое, что и ""чмо"" по-русски (одна из версий расшифровки ""человек, морально опустившийся"")"
SCRATCH THE SURFACE;"(v.phr.) скользить по поверхности;не вдаваясь"
SCREW UP;"проколоться, лажануться, испортить что-либо задним числом вспоминаю, что что-то подобное было во втором ""Терминаторе"""
SCREWBALL;"(n.) сумасброд;чудак"
TACKLE;(v.) энергично браться за что-л.
TACKY;(adj.) убогий
TAG ALONG;увязываться за
TAKE;(v.) терпеть (издевательства и т.п.)
TAKE A BACK SEAT;(v.phr.) отойти на задний план
TAKE A BEATING;"(v.phr.) терпеть убытки;переплатить"
TAKE A JOKE;(v.phr.) понимать шутку
TAKE A TRY;(v.phr.) попытаться
TAKE HEAT;(v.phr.) выстоять (перед лицом неприятностей, как напр., жалоб, критики и др
TAKE IN;"1. пойти посмотреть (фильм): - Let's lake in a movie.- Давайте сходим в кино; 2. уменьшать, укорачивать, урезать (ткань, костюмчик): - This size should be taken in a bit.- Этот размерчик нужно чуток ушить,-советует сержант Холдуин, разглядывая"
UGLY DUCKLING;"""гадкий утенок"", то есть ребенок (или не ребенок), ничего из себя не представляющий внешне или даже некрасивый, выросший затем в красивого человека. Появлению этой американской идиомы способствовал великий датский сказочник Ханс Христиан Андерсен, написавший одноименную сказку. И афоризм ""гадкий утенок"" запал в душу не только европейцев, но и американцев."
UNDER A CLOUD;1. под подозрением: 2. как в воду опущенный:
UNDER AGE;слишком молодой, малолетка, несовершеннолетний:
UNDER ONE'S OWN STEAM;"собственными усилиями;без посторонней помощи"
UNDER ONE'S STEAM;собственными силами:
UNDER ONE'S WING;"(adv.phr.) под чьей-л. защитой;под чьей-л. опекой"
UNDER THE HAMMER;с молотка, быть проданным с аукциона:
UNDER THE SUN;под солнцем, в мире, на свете.
UNDER THE THUMB;под каблуком
UNDER THE WEATHER;чувствовать слабость
VANITY BAG;дамская сумочка
VANITY CASE;косметичка
VARIETY IS THE SPICE OF LIFE;жизнь прекрасна, потому что не постижима
VEGETABLE;"""овощ"",человек, чье здоровье и психика полностью разрушены фармакохимией"
VIBES;"(сокращенно от ""vibrations"") п."
VOICE BOX;и. гортань, глотка.
VOITE DOWN;заблокировать, не проголосовать:
WACKY;"сумасшедший, безумный. Была когда-то такая забавная комп.игрушка ""wacky wheels"", там различные зверьки разъезжали на автомобильчиках. При всей ублюдочности своей весовой категории, реализация по тем временам была весьма изящной.."
WAG ONE'S TONGUE;(v.phr.) чесать языком
WAIT ON; служить, прислуживать
WAIT UPON; служить, прислуживать
WALK AWAY WITH;(v.phr.) (легко) завоевать (титул, звание и т.п.)
WALK OFF WITH;скрываться, или похищать, или то и другое вместе:
WALK ON AIR;(v.phr.) быть счастливым
WALK ON EGGS;(v.phr.) действовать чрезвачайно осторожно
WALK OUT;1. бастовать: 2. сваливать (неожиданно уходить):
WALK OUT ON SOMETHING;выйти из игры
X;"икс;2.крестик"
X AXIC;(n.) ось абцисс
X RAY;(v.comb.) обследовать с помощью рентгеновских лучей
X RING;контрольный кружок внутри десятки
X.Y.Z.;"Examine Your Zipper, что переводится как ""проверь замок на ширинке"" (это в том случае, если ваш друг забыл застегнуть ""молнию"" на брюках)."
XANTHIPPE;(n.) сварливая женщина
XANTHONS;(adj.) желтый
XENIAL CUSTOMS;законы гостеприимства
XING;перекресток ( от crossing )
XMAS;Рождество (от Christmas).
YACKY;грязный
YAH;"форма от ""you""."
YAKKY;трепливый, болтливый, болтун:
YAKYAK;много шума из ничего, много трепа:
YAP;"(канадс. слэнг) разговорное ""да""."
YARD;100
YELLOW;(adj.) трусливый
YELLOW BELLIED;желтопузиком американцы называют трусишку:
YELLOW RAG;бульварная газета, бульварный листок
YO;еще одна форма от you.
Z DAY;(n.) решительный день
ZANY;"(n.) шут;2.сумасброд, дурак, фигляр"
ZAP;"убить. В клевых книжках Дугласа Адамса универсальное оружие (что-то типа ""бластер"" в SF 60-70-х) называлось ""kill-o-zap"" (могу несильно ошибаться)"
ZAPPY;(adj.) энергичный,живой
ZEALOT;(n.) фанатичный приверженец
ZEPHYR;"(n.) западный ветер;2.род майки;накидка"
ZERO COOL;adj. круто! очень хорошо, супер.
ZERO IN ON;(v.phr.) концетрироваться на чем-л.
ZEST;"(n.) смак;удовольствие"
ZING;(n.) высокий резкий звук
