Off the wall;"поразительный;2.эксцетричный"
Pack it in;переставать делать что-либо
Pack of lies;все ложь
Pack up;сломаться, перестать работать
Paddle one's own canoe;устраивать свои дела без помощи кого-либо, самостоятельно
Pain in the neck;тот, кто всех достает и напрягает
Pal;"""кореш"", ""братан""."
Palm something off on someone;избавиться, сбагрить, спихнуть что-либо кому-либо
Pan out;"удаваться;устраиваться"
Pass the back;сваливать ответственность
Pay off;"подкупить;2.увенчаться успехом"
Queer beggar;странный человек
Queer fish;чудак
Queer someone's pitch;спутать карты, т.е. помешать кому-либо сделать что-либо, разрушить все планы и т.п.
Quick fix;решение какой-л. проблемы на скорую руку
Quite something;Это что-то!
Quitter;"капитулянт;трус"
Rack one's brain;. . напрягать мозги, шевелить мыслей:             . - Мик напряг память, стараясь вспомнить, где же он видел эту девушку раньше.
Rack one's brains;ломать голову
Raise cain;шуметь, кричать
Raise hell;"поднимать шум; устроить скандал"
Raise hue and cry;поднимать шум
Rambo;"разрушать. К величайшему своему стыду-позору я так и не посмотрел ни одного ""Рэмбо"". Поэтому не знаю, как он пишется на аглицком. Поэтому могу лишь предположить некую общность с приведенным выше словом"
Rap;выговор, порицание
Rap someone over the knuckles;намылить голову
Rape session;.  взбучка, вздрючка, на ковер: —   '       ? — Вас только что вызывали на ковер?— говорит Холдуин, видя, что у комиссара слишком уж бледный вид.
Rat on someone;предавать
Salt something away;отложить до лучших времен
Save the day;спасти положение
Savvy;смекалистый
Scam;"мошенничество;обман"
Scare the hell out of;
Schmaltz;дешевая сентиментальность
Schmo;"то же самое, что и ""чмо"" по-русски"
Scratch the surface;"скользить по поверхности;не вдаваясь"
Screw up;"проколоться, лажануться, испортить что-либо задним числом вспоминаю, что что-то подобное было во втором ""Терминаторе"""
Screwball;"сумасброд;чудак"
Tackle;энергично браться за что-л.
Tacky;убогий
Tag along;увязываться за
Take;терпеть
Take a back seat;отойти на задний план
Take a beating;"терпеть убытки;переплатить"
Take a joke;понимать шутку
Take a try;попытаться
Take heat;выстоять (перед лицом неприятностей, как напр., жалоб, критики и др
Take in;"1. пойти посмотреть : - '    .- Давайте сходим в кино; 2. уменьшать, укорачивать, урезать : -        .- Этот размерчик нужно чуток ушить,-советует сержант Холдуин, разглядывая"
Ugly duckling;"""гадкий утенок"", то есть ребенок , ничего из себя не представляющий внешне или даже некрасивый, выросший затем в красивого человека. Появлению этой американской идиомы способствовал великий датский сказочник Ханс Христиан Андерсен, написавший одноименную сказку. И афоризм ""гадкий утенок"" запал в душу не только европейцев, но и американцев."
Under a cloud;1. под подозрением: 2. как в воду опущенный:
Under age;слишком молодой, малолетка, несовершеннолетний:
Under one's own steam;"собственными усилиями;без посторонней помощи"
Under one's steam;собственными силами:
Under one's wing;"под чьей-л. защитой;под чьей-л. опекой"
Under the hammer;с молотка, быть проданным с аукциона:
Under the sun;под солнцем, в мире, на свете.
Under the thumb;под каблуком
Under the weather;чувствовать слабость
Vanity bag;дамская сумочка
Vanity case;косметичка
Variety is the spice of life;жизнь прекрасна, потому что не постижима
Vegetable;"""овощ"",человек, чье здоровье и психика полностью разрушены фармакохимией"
Vibes;п.
Voice box;и. гортань, глотка.
Voite down;заблокировать, не проголосовать:
Wacky;"сумасшедший, безумный. Была когда-то такая забавная комп.игрушка "" "", там различные зверьки разъезжали на автомобильчиках. При всей ублюдочности своей весовой категории, реализация по тем временам была весьма изящной.."
Wag one's tongue;чесать языком
Wait on;служить, прислуживать
Wait upon;служить, прислуживать
Walk away with;завоевать
Walk off with;скрываться, или похищать, или то и другое вместе:
Walk on air;быть счастливым
Walk on eggs;действовать чрезвачайно осторожно
Walk out;1. бастовать: 2. сваливать :
Walk out on something;выйти из игры
X;"икс;2.крестик"
X axic;ось абцисс
X ray;обследовать с помощью рентгеновских лучей
X ring;контрольный кружок внутри десятки
X.y.z.;", что переводится как ""проверь замок на ширинке"" ."
Xanthippe;сварливая женщина
Xanthons;желтый
Xenial customs;законы гостеприимства
Xing;перекресток
Xmas;Рождество .
Yacky;грязный
Yah;"форма от """"."
Yakky;трепливый, болтливый, болтун:
Yakyak;много шума из ничего, много трепа:
Yap;"разговорное ""да""."
Yard;100
Yellow;трусливый
Yellow bellied;желтопузиком американцы называют трусишку:
Yellow rag;бульварная газета, бульварный листок
Yo;еще одна форма от .
Z day;решительный день
Zany;"шут;2.сумасброд, дурак, фигляр"
Zap;"убить. В клевых книжках Дугласа Адамса универсальное оружие  называлось ""--"""
Zappy;энергичный,живой
Zealot;фанатичный приверженец
Zephyr;"западный ветер;2.род майки;накидка"
Zero cool;. круто! очень хорошо, супер.
Zero in on;концетрироваться на чем-л.
Zest;"смак;удовольствие"
Zing;высокий резкий звук
